image_name,set_id,file_path,flank_wear,adhesive_wear,combination_wear,wear_type,wear,timestamp
Set1/File_name_2022-09-09T13_42_21.698185.jpg,1,MATWI/Set1/images/File_name_2022-09-09T13_42_21.698185.jpg,30.0,,,flank_wear,30.0,2022-09-09T13:42:21.698185
Set1/File_name_2022-09-09T13_57_28.118460.jpg,1,MATWI/Set1/images/File_name_2022-09-09T13_57_28.118460.jpg,30.0,,,flank_wear,30.0,2022-09-09T13:57:28.118460
Set1/File_name_2022-09-09T14_02_11.912597.jpg,1,MATWI/Set1/images/File_name_2022-09-09T14_02_11.912597.jpg,,60.0,,adhesion,60.0,2022-09-09T14:02:11.912597
Set1/File_name_2022-09-09T14_06_06.154768.jpg,1,MATWI/Set1/images/File_name_2022-09-09T14_06_06.154768.jpg,,90.0,,adhesion,90.0,2022-09-09T14:06:06.154768
Set1/File_name_2022-09-09T14_15_05.378030.jpg,1,MATWI/Set1/images/File_name_2022-09-09T14_15_05.378030.jpg,30.0,,,flank_wear,30.0,2022-09-09T14:15:05.378030
Set1/File_name_2022-09-12T08_48_35.215462.jpg,1,MATWI/Set1/images/File_name_2022-09-12T08_48_35.215462.jpg,,75.0,,adhesion,75.0,2022-09-12T08:48:35.215462
Set1/File_name_2022-09-12T08_56_24.608623.jpg,1,MATWI/Set1/images/File_name_2022-09-12T08_56_24.608623.jpg,,60.0,,adhesion,60.0,2022-09-12T08:56:24.608623
Set1/File_name_2022-09-12T08_58_49.608028.jpg,1,MATWI/Set1/images/File_name_2022-09-12T08_58_49.608028.jpg,,45.0,,adhesion,45.0,2022-09-12T08:58:49.608028
Set1/File_name_2022-09-12T09_01_08.354120.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_01_08.354120.jpg,,60.0,,adhesion,60.0,2022-09-12T09:01:08.354120
Set1/File_name_2022-09-12T09_07_01.374915.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_07_01.374915.jpg,,90.0,,adhesion,90.0,2022-09-12T09:07:01.374915
Set1/File_name_2022-09-12T09_09_06.767793.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_09_06.767793.jpg,,60.0,,adhesion,60.0,2022-09-12T09:09:06.767793
Set1/File_name_2022-09-12T09_11_05.081835.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_11_05.081835.jpg,45.0,,,flank_wear,45.0,2022-09-12T09:11:05.081835
Set1/File_name_2022-09-12T09_13_13.903865.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_13_13.903865.jpg,45.0,,,flank_wear,45.0,2022-09-12T09:13:13.903865
Set1/File_name_2022-09-12T09_15_22.776469.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_15_22.776469.jpg,,75.0,,adhesion,75.0,2022-09-12T09:15:22.776469
Set1/File_name_2022-09-12T09_19_27.119246.jpg,1,MATWI/Set1/images/File_name_2022-09-12T09_19_27.119246.jpg,45.0,,,flank_wear,45.0,2022-09-12T09:19:27.119246
